ID,NAME,MKT,INDUSTRY_NAME_1,INDUSTRY_NAME_2
4163,鐿鈦,OTC,金屬製品,金屬製品
4162,智擎,OTC,藥,西藥
4161,聿新科,OTC,醫療耗材,醫療耗材
4160,創源,OTC,生物科技,生物科技
4157,太景*-KY,OTC,藥,西藥
4155,訊映,TSE,醫療耗材,醫療耗材
4154,康樂-KY,OTC,藥,機能性食品
4153,鈺緯,OTC,光電/ IO,監視器
4152,台微體,OTC,藥,西藥
4148,全宇生技-KY,TSE,藥,農藥肥料
4147,中裕,OTC,藥,西藥
4144,康聯-KY,TSE,藥,西藥
4142,國光生,TSE,藥,西藥
4141,龍燈-KY,TSE,藥,農藥肥料
4139,馬光-KY,OTC,生物科技,生物科技
4138,曜亞,OTC,醫療耗材,醫療耗材
4137,麗豐-KY,TSE,其他化學,其他化學
4133,亞諾法,TSE,生物科技,生物科技
4131,晶宇,OTC,醫療耗材,醫療耗材
4130,健亞,OTC,藥,西藥
4129,聯合,OTC,醫療耗材,醫療耗材
4128,中天,OTC,藥,西藥
4127,天良,OTC,藥,機能性食品
4126,太醫,OTC,醫療耗材,醫療耗材
4123,晟德,OTC,藥,西藥
4121,優盛,OTC,藥局,藥局
4120,友華,OTC,藥,西藥
4119,旭富,TSE,藥,西藥
4116,明基醫,OTC,醫療耗材,醫療耗材
4114,健喬,OTC,藥,西藥
4113,聯上,OTC,建設,建設
4111,濟生,OTC,藥,西藥
4109,穆拉德加捷,OTC,藥,機能性食品
4108,懷特,TSE,藥,西藥
4107,邦特,OTC,醫療耗材,醫療耗材
4106,雃博,TSE,醫療耗材,醫療耗材
4105,東洋,OTC,藥,西藥
4104,佳醫,TSE,醫療耗材,醫療耗材
4102,永日,OTC,藥,西藥
3712,永崴投控,TSE,資訊通路,3C通路
3711,日月光投控,TSE,半導體,IC封測
3710,連展投控,OTC,電子零組件,連接器
3709,鑫聯大投控,OTC,資訊通路,3C通路
3708,上緯投控,TSE,樹脂,樹脂
3707,漢磊,OTC,半導體,晶圓代工
3706,神達,TSE,PC系統,PC
3705,永信,TSE,藥,西藥
3704,合勤控,TSE,網路設備,數據機
3703,欣陸,TSE,營造,營造
3702,大聯大,TSE,資訊通路,零組件代理
3701,大眾控,TSE,PC系統,PC
3698,隆達,TSE,光電/ IO,磊晶及晶粒
3694,海華,TSE,通訊設備,通訊設備
3693,營邦,OTC,電子零組件,機殼
3691,碩禾,OTC,光電/ IO,其他太陽能
3689,湧德,OTC,電子零組件,連接器
3687,歐買尬,OTC,軟體服務,應用軟體
3686,達能,TSE,光電/ IO,矽晶圓
3685,元創精密,OTC,光電/ IO,LCD 原料
3684,榮昌,OTC,電子零組件,連接器
3682,亞太電,TSE,通訊設備,電信業
3680,家登,OTC,電子設備,電機設備
3679,新至陞,TSE,電子零組件,沖壓零組件
3675,德微,OTC,電子零組件,二極體整流
3673,TPK-KY,TSE,光電/ IO,觸控面板
3672,康聯訊,OTC,通訊設備,光纖通訊
3669,圓展,TSE,消費性電子,照相機
3666,光耀,OTC,光電/ IO,LCD 原料
3665,貿聯-KY,TSE,電子零組件,連接器
3664,安瑞-KY,OTC,軟體服務,系統整合
3663,鑫科,OTC,資源回收,貴金屬回收
3661,世芯-KY,TSE,半導體,IC設計
3653,健策,TSE,電子零組件,光電導線架
3652,精聯,OTC,主機板,POS
3646,艾恩特,OTC,電子零組件,連接器
3645,達邁,TSE,主機板,軟板
3642,駿熠電,OTC,光電/ IO,PC週邊
3632,研勤,OTC,軟體服務,系統整合
3631,晟楠,OTC,主機板,PCB上-其他
3630,新鉅科,OTC,消費性電子,照相機
3629,地心引力,OTC,光電/ IO,觸控面板
3628,盈正,OTC,電子零組件,電源供應器
3625,西勝,OTC,電子零組件,3C二次電池
3624,光頡,OTC,電子零組件,被動元件
